T#7ms486us246ns; 
T#7ms209us398ns; 
T#7ms330us853ns; 
T#7ms280us524ns; 
T#7ms328us528ns; 
T#7ms279us546ns; 
T#7ms283us495ns; 
T#7ms219us934ns; 
T#7ms201us668ns; 
T#7ms393us605ns; 
T#7ms536us108ns; 
T#8ms188us573ns; 
T#7ms728us61ns; 
T#7ms680us873ns; 
T#7ms593us408ns; 
T#7ms624us428ns; 
T#7ms229us296ns; 
T#7ms175us137ns; 
T#7ms110us853ns; 
T#7ms113us933ns; 
T#7ms194us194ns; 
T#7ms409us103ns; 
T#8ms198us386ns; 
T#7ms387us442ns; 
T#7ms9us894ns; 
T#7ms602us130ns; 
T#7ms223us350ns; 
T#6ms980us143ns; 
T#7ms388us533ns; 
T#7ms539us961ns; 
T#7ms116us39ns; 
T#8ms174us658ns; 
T#7ms341us266ns; 
T#7ms665us87ns; 
T#7ms335us638ns; 
T#7ms342us137ns; 
T#7ms571us173ns; 
T#7ms323us648ns; 
T#7ms946us653ns; 
T#7ms895us341ns; 
T#7ms711us796ns; 
T#7ms721us408ns; 
T#7ms928us640ns; 
T#8ms77us171ns; 
T#8ms316us333ns; 
T#8ms705us940ns; 
T#9ms37us403ns; 
T#9ms44us412ns; 
T#8ms768us556ns; 
T#9ms230us223ns; 
T#9ms120us24ns; 
T#9ms431us689ns; 
T#9ms917us463ns; 
T#9ms869us794ns; 
T#10ms3us704ns; 
T#10ms688us291ns; 
T#10ms6us745ns; 
T#11ms637us137ns; 
T#10ms482us61ns; 
T#11ms46us523ns; 
T#11ms69us166ns; 
T#11ms839us902ns; 
T#11ms498us673ns; 
T#11ms734us39ns; 
T#15ms382us291ns; 
T#11ms675us582ns; 
T#12ms41us753ns; 
T#12ms546us695ns; 
T#17ms906us301ns; 
T#15ms988us455ns; 
T#13ms222us260ns; 
T#13ms299us323ns; 
T#12ms986us77ns; 
T#14ms73us678ns; 
T#13ms787us142ns; 
T#14ms147us267ns; 
T#14ms163us288ns; 
T#14ms69us320ns; 
T#14ms966us254ns; 
T#16ms784us215ns; 
T#20ms861us669ns; 
