T#30ms528us191ns; 
T#22ms25us549ns; 
T#22ms203us883ns; 
T#22ms399us258ns; 
T#23ms723us882ns; 
T#31ms48us650ns; 
T#29ms328us251ns; 
T#25ms910us152ns; 
T#23ms997us314ns; 
T#25ms713us247ns; 
T#24ms395us937ns; 
T#24ms742us770ns; 
T#23ms641us93ns; 
T#24ms783us422ns; 
T#29ms285us707ns; 
T#25ms311us155ns; 
T#24ms615us492ns; 
T#24ms663us336ns; 
T#26ms497us493ns; 
T#28ms648us839ns; 
T#29ms744us481ns; 
T#30ms218us123ns; 
T#31ms357us42ns; 
T#32ms3us679ns; 
T#34ms739us978ns; 
T#39ms376us52ns; 
T#44ms150us425ns; 
T#41ms66us862ns; 
T#41ms225us191ns; 
T#44ms111us480ns; 
T#44ms861us358ns; 
T#47ms4us541ns; 
T#50ms561us148ns; 
T#53ms724us470ns; 
T#58ms773us946ns; 
T#59ms848us470ns; 
T#67ms469us176ns; 
T#61ms587us489ns; 
T#65ms54us651ns; 
T#82ms715us661ns; 
T#72ms662us666ns; 
T#75ms32us734ns; 
T#73ms4us880ns; 
T#68ms98us846ns; 
T#76ms314us174ns; 
T#80ms224us887ns; 
T#74ms260us830ns; 
T#85ms78us416ns; 
T#81ms1us451ns; 
T#83ms275us644ns; 
T#85ms284us755ns; 
T#84ms579us105ns; 
T#84ms289us115ns; 
T#94ms349us459ns; 
T#95ms109us400ns; 
T#92ms247us473ns; 
T#90ms86us753ns; 
T#85ms172us204ns; 
T#81ms497us964ns; 
T#79ms171us971ns; 
T#91ms106us556ns; 
T#156ms705us563ns; 
T#166ms726us781ns; 
T#106ms811us887ns; 
T#107ms578us22ns; 
T#97ms52us147ns; 
T#88ms350us850ns; 
T#125ms10us59ns; 
T#119ms982us706ns; 
T#171ms73us495ns; 
T#147ms361us215ns; 
T#98ms174us450ns; 
T#100ms469us959ns; 
T#114ms431us359ns; 
T#115ms178us544ns; 
T#161ms55us381ns; 
T#179ms993us691ns; 
T#141ms335us221ns; 
T#107ms369us781ns; 
T#102ms708us172ns; 
T#94ms492us248ns; 
T#95ms746us36ns; 
T#114ms611us763ns; 
T#119ms244us732ns; 
T#163ms741us540ns; 
T#184ms669us675ns; 
T#137ms620us622ns; 
T#130ms81us413ns; 
T#125ms422us609ns; 
T#120ms179us975ns; 
T#141ms512us519ns; 
T#146ms490us748ns; 
T#115ms197us591ns; 
T#100ms211us299ns; 
T#91ms578us547ns; 
T#99ms250us295ns; 
T#82ms589us354ns; 
T#81ms569us725ns; 
T#77ms986us357ns; 
T#91ms878us859ns; 
T#101ms553us953ns; 
T#98ms964us238ns; 
T#98ms305us833ns; 
T#87ms949us684ns; 
T#86ms128us960ns; 
T#77ms212us976ns; 
T#93ms142us534ns; 
T#80ms627us122ns; 
T#113ms928us105ns; 
T#154ms490us132ns; 
T#148ms277us473ns; 
T#138ms678us39ns; 
