T#107us879ns; 
T#111us281ns; 
T#107us256ns; 
T#99us963ns; 
T#100us108ns; 
T#119us371ns; 
T#130us904ns; 
T#113us934ns; 
T#99us449ns; 
T#99us482ns; 
T#104us994ns; 
T#99us905ns; 
T#100us141ns; 
T#99us778ns; 
T#99us561ns; 
T#99us915ns; 
T#104us151ns; 
T#108us915ns; 
T#99us581ns; 
T#100us101ns; 
T#99us997ns; 
T#100us112ns; 
T#100us587ns; 
T#107us933ns; 
T#109us960ns; 
T#113us859ns; 
T#109us549ns; 
T#124us181ns; 
T#110us139ns; 
T#109us718ns; 
T#110us113ns; 
T#109us965ns; 
T#109us844ns; 
T#109us787ns; 
T#114us606ns; 
T#119us450ns; 
T#110us423ns; 
T#109us425ns; 
T#109us537ns; 
T#121us957ns; 
T#109us322ns; 
T#109us278ns; 
T#109us661ns; 
T#114us286ns; 
T#115us729ns; 
T#109us458ns; 
T#109us13ns; 
T#109us602ns; 
T#109us704ns; 
T#109us195ns; 
T#109us475ns; 
T#113us771ns; 
T#119us3ns; 
T#119us701ns; 
T#113us384ns; 
T#112us749ns; 
T#112us839ns; 
T#112us694ns; 
T#113us574ns; 
T#113us510ns; 
T#113us694ns; 
T#124us672ns; 
T#119us143ns; 
T#138us988ns; 
T#132us746ns; 
T#116us591ns; 
T#135us973ns; 
T#118us913ns; 
T#161us710ns; 
T#126us473ns; 
T#113us108ns; 
T#112us837ns; 
T#112us572ns; 
T#112us689ns; 
T#112us811ns; 
T#104us840ns; 
T#94us378ns; 
T#97us976ns; 
T#94us77ns; 
T#99us382ns; 
T#94us754ns; 
T#94us564ns; 
T#94us472ns; 
T#94us300ns; 
T#94us630ns; 
T#98us418ns; 
T#96us230ns; 
T#117us905ns; 
T#117us622ns; 
T#114us209ns; 
T#94us334ns; 
T#94us158ns; 
T#94us320ns; 
T#94us468ns; 
T#94us21ns; 
T#94us134ns; 
T#94us382ns; 
T#106us742ns; 
T#99us884ns; 
T#128us213ns; 
T#94us485ns; 
T#94us847ns; 
T#94us126ns; 
T#94us533ns; 
T#94us475ns; 
T#94us972ns; 
T#94us684ns; 
T#94us483ns; 
T#106us568ns; 
T#99us984ns; 
T#91us656ns; 
T#91us645ns; 
T#91us710ns; 
T#91us834ns; 
T#91us896ns; 
T#91us914ns; 
T#91us597ns; 
T#91us939ns; 
T#96us2ns; 
T#96us324ns; 
T#104us627ns; 
T#126us694ns; 
T#122us848ns; 
T#94us158ns; 
T#94us435ns; 
T#94us562ns; 
T#94us307ns; 
T#94us407ns; 
T#99us927ns; 
T#129us861ns; 
T#118us395ns; 
T#123us288ns; 
T#130us759ns; 
T#131us467ns; 
T#108us148ns; 
T#94us622ns; 
T#103us530ns; 
T#105us865ns; 
T#115us802ns; 
T#101us740ns; 
T#94us895ns; 
